coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
inclusion_c30,inclusion,30.0,30.0,151.51561316181613,33.142857142857146,64,3844,jacobi-pcg,1e-08,True,125,9.61000332608819e-05,0.006827799952588975,0.006923899985849857,8.791408910377236e-09,0.3197669982910156,jacobi-pcg,True,3.8978466015314317
inclusion_c30,inclusion,30.0,30.0,151.51561316181613,33.142857142857146,64,3844,amg-pcg,1e-08,True,9,0.008847900084219873,0.005161800072528422,0.014009700156748295,5.443496157781434e-09,0.3197669982910156,jacobi-pcg,False,1.9264009741270924
inclusion_c30,inclusion,30.0,30.0,305.4362360563595,34.70866141732284,128,15876,cg,1e-08,True,1137,5.00003807246685e-07,0.7678742000134662,0.7678747000172734,9.374761299755832e-09,1.3266029357910156,amg-pcg,False,1.0
inclusion_c30,inclusion,30.0,30.0,305.4362360563595,34.70866141732284,128,15876,jacobi-pcg,1e-08,True,256,0.00015119998715817928,0.1816377000650391,0.18178890005219728,9.9170198232653e-09,1.3266029357910156,amg-pcg,False,4.223991122652662
inclusion_c30,inclusion,30.0,30.0,305.4362360563595,34.70866141732284,128,15876,amg-pcg,1e-08,True,11,0.05751399998553097,0.03264410002157092,0.0901581000071019,1.4191659651536967e-09,1.3266029357910156,amg-pcg,True,8.516979616438087
inclusion_c30,inclusion,30.0,30.0,613.2774818454462,34.57254901960784,256,64516,cg,1e-08,True,2454,4.00003045797348e-07,3.340801900019869,3.340802300022915,9.889264581092603e-09,5.402774810791016,amg-pcg,False,1.0
inclusion_c30,inclusion,30.0,30.0,613.2774818454462,34.57254901960784,256,64516,jacobi-pcg,1e-08,True,520,0.00042639998719096184,0.8955570999532938,0.8959834999404848,9.843234132611248e-09,5.402774810791016,amg-pcg,False,3.7286426594293602
inclusion_c30,inclusion,30.0,30.0,613.2774818454462,34.57254901960784,256,64516,amg-pcg,1e-08,True,11,0.20649970008525997,0.1032389000756666,0.3097386001609266,4.422094285788416e-09,5.402774810791016,amg-pcg,True,10.78587653681905
inclusion_c100,inclusion,100.0,100.0,205.14986522290855,113.14285714285714,64,3844,cg,1e-08,True,796,6.00004568696022e-07,0.043753899983130395,0.04375449998769909,6.111489849440583e-09,0.3197669982910156,jacobi-pcg,False,1.0
inclusion_c100,inclusion,100.0,100.0,205.14986522290855,113.14285714285714,64,3844,jacobi-pcg,1e-08,True,129,8.020002860575914e-05,0.006392100010998547,0.006472300039604306,8.751716809779867e-09,0.3197669982910156,jacobi-pcg,True,6.76027064875906
inclusion_c100,inclusion,100.0,100.0,205.14986522290855,113.14285714285714,64,3844,amg-pcg,1e-08,True,10,0.007972799940034747,0.005784700042568147,0.013757499982602894,2.150940327720132e-09,0.3197669982910156,jacobi-pcg,False,3.1804106882085432
inclusion_c100,inclusion,100.0,100.0,413.55607751284737,118.48818897637796,128,15876,cg,1e-08,True,1963,5.00003807246685e-07,1.305089300032705,1.3050898000365123,8.770480871182208e-09,1.3266029357910156,amg-pcg,False,1.0
