n,contrast,shift_x,shift_y,alpha,repeat,order,method,seed,audit_seconds,operator_reflection_defect,rhs_even_fraction,rhs_odd_fraction,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,0,0,0.0,2,0,amg0,3703,0.004074800000125833,0.0,2.716841757413203e-32,0.9999999999999998,0.04747459999998682,0.05906689999937953,0.10654149999936635,17,0,4.777664042857655e-10,True,1.3386725269834205
192,1000.0,0,0,0.0,2,1,jacobi,3703,0.004074800000125833,0.0,2.716841757413203e-32,0.9999999999999998,0.0002547000003687572,0.07242919999953301,0.07268389999990177,403,0,9.076303314903551e-10,True,0.0
192,1000.0,0,0,1.0,0,0,amg0,3701,0.00401510000028793,0.0,0.5000000000000091,0.5000000000000002,0.04665429999931803,0.07556450000083714,0.12221880000015517,17,0,4.706513403292058e-10,True,1.3386725269834205
192,1000.0,0,0,1.0,0,1,jacobi,3701,0.00401510000028793,0.0,0.5000000000000091,0.5000000000000002,0.00025520000053802505,0.13422460000037972,0.13447980000091775,692,0,1.5284410247627163e-09,True,0.0
192,1000.0,0,0,1.0,1,0,amg0,3702,0.00401510000028793,0.0,0.5000000000000091,0.5000000000000002,0.04240179999942484,0.057767400000557245,0.10016919999998208,17,0,4.799973294839854e-10,True,1.3386725269834205
192,1000.0,0,0,1.0,1,1,jacobi,3702,0.00401510000028793,0.0,0.5000000000000091,0.5000000000000002,0.0002275000006193295,0.1337111000002551,0.13393860000087443,692,0,1.5284410247627163e-09,True,0.0
192,1000.0,0,0,1.0,2,0,amg0,3703,0.00401510000028793,0.0,0.5000000000000091,0.5000000000000002,0.048967800000355055,0.059882399999878544,0.1088502000002336,17,0,4.685878464039226e-10,True,1.3386725269834205
192,1000.0,0,0,1.0,2,1,jacobi,3703,0.00401510000028793,0.0,0.5000000000000091,0.5000000000000002,0.0003282999996372382,0.13517529999990074,0.13550359999953798,692,0,1.5284410247627163e-09,True,0.0
192,1000.0,2,0,0.0,0,0,jacobi,3701,0.0037032000000181142,0.5641451716791832,2.716841757413203e-32,0.9999999999999998,0.00013690000014321413,0.13141859999996086,0.13155550000010408,681,0,9.971772444374563e-10,True,0.0
192,1000.0,2,0,0.0,0,1,amg0,3701,0.0037032000000181142,0.5641451716791832,2.716841757413203e-32,0.9999999999999998,0.04731600000013714,0.06038840000019263,0.10770440000032977,17,0,2.0673970182238866e-10,True,1.3386725269834205
192,1000.0,2,0,0.0,1,0,jacobi,3702,0.0037032000000181142,0.5641451716791832,2.716841757413203e-32,0.9999999999999998,0.0003074000005653943,0.13126250000004802,0.13156990000061342,681,0,9.971772444374563e-10,True,0.0
192,1000.0,2,0,0.0,1,1,amg0,3702,0.0037032000000181142,0.5641451716791832,2.716841757413203e-32,0.9999999999999998,0.045896699999502744,0.058695199999419856,0.1045918999989226,17,0,2.0656530660727427e-10,True,1.3386725269834205
192,1000.0,2,0,0.0,2,0,jacobi,3703,0.0037032000000181142,0.5641451716791832,2.716841757413203e-32,0.9999999999999998,0.00024899999971239595,0.1261534000004758,0.1264024000001882,681,0,9.971772444374563e-10,True,0.0
192,1000.0,2,0,0.0,2,1,amg0,3703,0.0037032000000181142,0.5641451716791832,2.716841757413203e-32,0.9999999999999998,0.04574810000030993,0.05841030000010505,0.10415840000041499,17,0,2.0769657896978246e-10,True,1.3386725269834205
128,1000.0,2,0,0.0,0,0,amg0,3701,0.0023257000002558925,0.6970344458816073,5.312517350595355e-32,1.0,0.02374190000045928,0.023063399999955436,0.04680530000041472,14,0,8.870052417584743e-10,True,1.3399006034788783
128,1000.0,2,0,0.0,0,1,jacobi,3701,0.0023257000002558925,0.6970344458816073,5.312517350595355e-32,1.0,0.00016039999991335208,0.038917599999876984,0.039077999999790336,452,0,9.602468327619275e-10,True,0.0
128,1000.0,2,0,0.0,1,0,jacobi,3702,0.0023257000002558925,0.6970344458816073,5.312517350595355e-32,1.0,7.920000007288763e-05,0.04005570000026637,0.04013490000033926,452,0,9.602468327619275e-10,True,0.0
128,1000.0,2,0,0.0,1,1,amg0,3702,0.0023257000002558925,0.6970344458816073,5.312517350595355e-32,1.0,0.024612799999886192,0.023395199999868055,0.04800799999975425,14,0,8.865653834403292e-10,True,1.3399006034788783
