n,contrast,geometry,average,rhs,method,count,iterations,median_total,all_accepted,max_residual
64,100.0,connected,harmonic,dipole,amg0,2,11.0,0.013997650000874273,True,1.4192047855664205e-09
64,100.0,connected,harmonic,dipole,cg,2,1355.0,0.043549000000439264,True,9.977714669394097e-09
64,100.0,connected,harmonic,ones,amg0,2,11.0,0.013140600000042468,True,2.2533745092451907e-09
64,100.0,connected,harmonic,random,jacobi,2,253.0,0.008331750000252214,True,9.836769650845217e-09
64,100.0,connected,harmonic,ones,cg,2,1368.0,0.0451124000001073,True,6.307639759488792e-09
64,100.0,connected,harmonic,random,amg0,2,10.0,0.015430550000473886,True,2.4353189170898185e-09
64,100.0,connected,harmonic,dipole,amg025,2,22.0,0.019657450000977406,True,4.249547932194507e-09
64,100.0,connected,harmonic,ones,amg025,2,22.0,0.016964649999863468,True,7.720460106364445e-09
64,100.0,connected,harmonic,dipole,jacobi,2,251.0,0.008839850000185834,True,9.219633195220573e-09
64,100.0,connected,harmonic,ones,jacobi,2,260.0,0.008968950000053155,True,9.639393240239929e-09
128,100.0,disconnected,arithmetic,dipole,cg,2,1955.0,0.1690904000001865,True,9.038225213549341e-09
128,100.0,disconnected,arithmetic,dipole,jacobi,2,244.0,0.020944650000274123,True,8.939243833041359e-09
128,100.0,disconnected,arithmetic,random,amg0,2,11.0,0.042853000000377506,True,7.686949146236941e-09
128,100.0,disconnected,arithmetic,ones,jacobi,2,330.0,0.028603199999906792,True,9.50856667174423e-09
128,100.0,disconnected,arithmetic,random,cg,2,3468.0,0.30602409999937663,True,9.338246249546821e-09
128,100.0,disconnected,arithmetic,ones,amg0,2,13.0,0.042609149999861984,True,2.0155558258093465e-09
128,100.0,disconnected,arithmetic,ones,amg025,2,48.0,0.092373100000259,True,4.867501444334272e-09
128,100.0,disconnected,arithmetic,random,amg025,2,48.0,0.09448935000045822,True,4.391543976534435e-09
128,100.0,disconnected,arithmetic,ones,cg,2,2247.0,0.1884537500004626,True,9.656129800846504e-09
128,100.0,disconnected,arithmetic,dipole,amg0,2,13.0,0.043860050000148476,True,1.6334222556468403e-09
128,100.0,disconnected,arithmetic,random,jacobi,2,539.0,0.04616319999968255,True,9.977005427294157e-09
128,100.0,disconnected,arithmetic,dipole,amg025,2,48.0,0.09693865000053847,True,4.452696328490845e-09
64,1000000.0,connected,arithmetic,ones,jacobi,2,341.0,0.010712100000091596,False,1.8295116332078966e-07
64,1000000.0,connected,arithmetic,dipole,jacobi,2,336.0,0.010244349999538827,True,1.0990428765652915e-08
64,1000000.0,connected,arithmetic,random,amg0,2,11.0,0.012984599999981583,True,4.58318995924888e-09
64,1000000.0,connected,arithmetic,dipole,cg,2,8000.0,0.232195000000047,False,1.6796602305260472e-06
64,1000000.0,connected,arithmetic,random,amg025,2,29.0,0.01975510000011127,True,2.6177357638050972e-09
64,1000000.0,connected,arithmetic,random,cg,2,8000.0,0.23337674999993396,False,1.0681853984920162e-05
64,1000000.0,connected,arithmetic,random,jacobi,2,337.0,0.010377999999491294,True,8.420156442268667e-09
64,1000000.0,connected,arithmetic,ones,cg,2,8000.0,0.23380304999955115,False,2.4627482641614736e-06
64,1000000.0,connected,arithmetic,ones,amg0,2,13.0,0.014025649999894085,True,5.296432118901561e-08
64,1000000.0,connected,arithmetic,ones,amg025,2,30.0,0.020143699999152886,True,5.7505427518860764e-08
64,1000000.0,connected,arithmetic,dipole,amg025,2,29.0,0.019951249999849097,True,4.561118763194735e-09
64,1000000.0,connected,arithmetic,dipole,amg0,2,12.0,0.01355859999966924,True,6.958383737759649e-09
64,100.0,disconnected,arithmetic,ones,cg,2,859.0,0.025815199999669858,True,9.666514499200218e-09
64,100.0,disconnected,arithmetic,ones,amg025,2,25.0,0.01841824999974051,True,2.8335823903373356e-09
64,100.0,disconnected,arithmetic,dipole,amg025,2,25.0,0.017567749999670923,True,2.3370327340624317e-09
64,100.0,disconnected,arithmetic,random,cg,2,1373.0,0.03977995000013834,True,9.5631788926808e-09
64,100.0,disconnected,arithmetic,dipole,jacobi,2,119.0,0.003791399999499845,True,7.864875081863196e-09
64,100.0,disconnected,arithmetic,dipole,amg0,2,12.0,0.014177300000028481,True,3.634243732288127e-09
64,100.0,disconnected,arithmetic,ones,amg0,2,12.0,0.019420249999711814,True,5.241988545060277e-09
64,100.0,disconnected,arithmetic,dipole,cg,2,755.0,0.022347249999711494,True,8.38244962926493e-09
64,100.0,disconnected,arithmetic,random,amg025,2,25.0,0.01760390000026746,True,1.4428202543058656e-09
64,100.0,disconnected,arithmetic,random,jacobi,2,266.0,0.012557149999793182,True,9.42571020838597e-09
64,100.0,disconnected,arithmetic,random,amg0,2,11.0,0.013718249999783438,True,2.5146603610576567e-09
64,100.0,disconnected,arithmetic,ones,jacobi,2,158.0,0.004944650000197726,True,9.783852246562188e-09
64,10000.0,disconnected,arithmetic,ones,amg0,2,15.0,0.015223699999296514,True,5.6041448301269386e-09
64,10000.0,disconnected,arithmetic,dipole,cg,2,1952.0,0.06253754999988814,True,5.70445015769727e-09
64,10000.0,disconnected,arithmetic,ones,jacobi,2,186.0,0.005889349999961269,True,7.233755554775558e-09
64,10000.0,disconnected,arithmetic,dipole,jacobi,2,127.0,0.0040237499997601844,True,9.615827327338823e-09
64,10000.0,disconnected,arithmetic,dipole,amg025,2,30.0,0.020411800000147196,True,3.6559331731208764e-09
64,10000.0,disconnected,arithmetic,random,jacobi,2,326.0,0.010178400000313559,True,9.744240783958577e-09
64,10000.0,disconnected,arithmetic,random,amg025,2,30.0,0.01968219999980647,True,2.7128513945567105e-09
64,10000.0,disconnected,arithmetic,ones,cg,2,2319.0,0.06774770000038188,True,1.0719612058442396e-08
