n,contrast,geometry,average,rhs,repeat,order,method,seed,reflection_x,reflection_y,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,components1_77,harmonic,ones,2,6,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04788150000058522,0.04903740000008838,0.0969189000006736,15,0,8.474337628988921e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_y,2,7,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.03920209999978397,0.054126500000165834,0.0933285999999498,15,0,9.52955296387758e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_y,3,0,jacobi,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.000230599999667902,0.17827959999976883,0.17851019999943674,901,0,9.835187296668944e-10,True,0.0
192,1000.0,components1_77,harmonic,ones,3,1,jacobi,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.000266899999587622,0.16827629999988858,0.1685431999994762,897,0,2.764682391661647e-09,True,0.0
192,1000.0,components1_77,harmonic,random,3,2,jacobi,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002480000002833549,0.16205649999938032,0.16230449999966368,870,0,9.70666854338555e-10,True,0.0
192,1000.0,components1_77,harmonic,dipole_y,3,3,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.042802799999662966,0.053573099999994156,0.09637589999965712,15,0,9.51450872166641e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,random,3,4,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.040963100000226405,0.0454583000000639,0.0864214000002903,13,0,2.31989519994401e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_x,3,5,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04586689999996452,0.051647399999637855,0.09751429999960237,15,0,5.791759546662096e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_x,3,6,jacobi,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00023680000049353112,0.16816070000004402,0.16839750000053755,896,0,9.969478092037873e-10,True,0.0
192,1000.0,components1_77,harmonic,ones,3,7,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04068699999970704,0.04786930000045686,0.0885563000001639,15,0,8.110151318098024e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,random,4,0,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00020530000074359123,0.1636145000002216,0.1638198000009652,870,0,9.70666854338555e-10,True,0.0
192,1000.0,components1_77,harmonic,dipole_x,4,1,amg0,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04738569999972242,0.04860869999993156,0.09599439999965398,15,0,5.793538945048329e-10,True,1.3386725269834205
192,1000.0,components1_77,harmonic,dipole_x,4,2,jacobi,2705,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00021740000011050142,0.17780519999996613,0.17802260000007664,896,0,9.969478092037873e-10,True,0.0
