n,contrast,geometry,average,rhs,repeat,method,order,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,levels,complexity
64,100.0,disconnected,harmonic,ones,0,jacobi,19,731,192,5.640625,125.71428571428571,205.14986522290855,2,5.4200000704440754e-05,0.00575840000055905,0.00581260000126349,162,0,8.34041408610985e-09,True,0,0.0
64,100.0,disconnected,harmonic,dipole,1,cg,20,732,192,5.640625,125.71428571428571,205.14986522290855,2,6.999998731771484e-07,0.02090150000003632,0.0209021999999095,636,0,8.674183503857598e-09,True,0,0.0
64,100.0,disconnected,harmonic,random,1,amg0,21,732,192,5.640625,125.71428571428571,205.14986522290855,2,0.008125199999994948,0.005437900000288209,0.013563100000283157,11,0,1.790502147044187e-09,True,4,1.3290638836179633
64,100.0,disconnected,harmonic,ones,0,cg,22,731,192,5.640625,125.71428571428571,205.14986522290855,2,6.999998731771484e-07,0.024359799999729148,0.024360499999602325,720,0,8.462978762621486e-09,True,0,0.0
64,100.0,disconnected,harmonic,random,0,amg0,23,731,192,5.640625,125.71428571428571,205.14986522290855,2,0.008758400000260735,0.008635400000457594,0.01739380000071833,11,0,1.7633644963624546e-09,True,4,1.3290638836179633
128,1000000.0,disconnected,harmonic,ones,1,amg0,0,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.021050400000603986,0.031083700000635872,0.05213410000123986,18,0,2.5635811535307874e-07,False,5,1.3399006034788783
128,1000000.0,disconnected,harmonic,random,1,cg,1,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.5999994502635673e-06,0.6961699999992561,0.6961715999987064,8000,8000,0.007617996049894187,False,0,0.0
128,1000000.0,disconnected,harmonic,ones,0,cg,2,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,9.000004865811206e-07,0.7158281000001807,0.7158290000006673,8000,8000,0.004066551270894127,False,0,0.0
128,1000000.0,disconnected,harmonic,ones,0,amg0,3,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.03439410000009957,0.03197040000031848,0.06636450000041805,18,0,2.484518261869869e-07,False,5,1.3399006034788783
128,1000000.0,disconnected,harmonic,dipole,0,amg025,4,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.028734600000461796,0.09150969999973313,0.12024430000019493,52,0,7.1728665016278455e-09,True,4,1.308458846797505
128,1000000.0,disconnected,harmonic,dipole,0,amg0,5,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.0227842000003875,0.027436399999714922,0.05022060000010242,18,0,3.2380525242136316e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,harmonic,dipole,0,cg,6,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,1.0999992809956893e-06,0.6567218999998659,0.6567229999991469,8000,8000,9.441692175504444e-08,False,0,0.0
128,1000000.0,disconnected,harmonic,dipole,1,amg0,7,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.02139199999965058,0.027444700000160083,0.04883669999981066,18,0,3.317076590890773e-09,True,5,1.3399006034788783
128,1000000.0,disconnected,harmonic,random,0,jacobi,8,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.329999971261714e-05,0.06820340000012948,0.0682766999998421,777,0,1.0265603166867509e-08,True,0,0.0
128,1000000.0,disconnected,harmonic,random,0,amg025,9,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.023381099999824073,0.0988989000006768,0.12228000000050088,67,0,9.867901207452228e-09,True,4,1.308458846797505
128,1000000.0,disconnected,harmonic,ones,0,jacobi,10,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.449999975506216e-05,0.03527250000024651,0.03534700000000157,418,0,7.862901971620198e-07,False,0,0.0
128,1000000.0,disconnected,harmonic,dipole,1,cg,11,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,2.0000006770715117e-06,0.6671985000002678,0.6672005000009449,8000,8000,9.441692175504444e-08,False,0,0.0
128,1000000.0,disconnected,harmonic,random,1,amg025,12,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.022915200000170444,0.11223339999924065,0.1351485999994111,68,0,6.575849914148747e-09,True,4,1.308458846797505
128,1000000.0,disconnected,harmonic,ones,0,amg025,13,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,0.03624760000002425,0.10432239999954618,0.14056999999957043,68,0,3.586680275302667e-07,False,4,1.308458846797505
128,1000000.0,disconnected,harmonic,dipole,0,jacobi,14,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.650000043213367e-05,0.03145159999985481,0.03152810000028694,278,0,9.433798654328727e-09,True,0,0.0
128,1000000.0,disconnected,harmonic,random,0,cg,15,731,768,46875.953125,1259841.2598425196,1240.6682325385418,2,8.999995770864189e-07,0.7096457999996346,0.7096466999992117,8000,8000,0.007617996049894187,False,0,0.0
128,1000000.0,disconnected,harmonic,random,1,jacobi,16,732,768,46875.953125,1259841.2598425196,1240.6682325385418,2,7.709999954386149e-05,0.07499980000011419,0.07507689999965805,777,0,1.0265603166867509e-08,True,0,0.0
