n,contrast,geometry,variant,average,rhs,repeat,order,method,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
96,1000.0,connected,transpose,harmonic,ones,3,1,amg0,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013555600000472623,0.012401100000715815,0.025956700001188437,13,0,1.3750033777676553e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,ones,3,2,jacobi,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,6.83999996908824e-05,0.024141299999428156,0.02420969999911904,445,0,1.0770126691037334e-09,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_x,3,3,jacobi,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,5.430000055639539e-05,0.023620600000867853,0.02367490000142425,437,0,9.116272189847934e-10,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_y,3,4,jacobi,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,5.540000074688578e-05,0.023781200000485114,0.023836600001232,450,0,9.243637454043341e-10,True,0.0
96,1000.0,connected,transpose,harmonic,random,3,5,amg0,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,0.012947100000019418,0.010530100000323728,0.023477200000343146,11,0,2.302977106863907e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_x,3,6,amg0,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,0.01287419999971462,0.012584400000378082,0.0254586000000927,13,0,8.489651564048156e-11,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_y,3,7,amg0,1704,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013253099999928963,0.012767100000019127,0.02602019999994809,13,0,1.4580886260677825e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,ones,4,0,jacobi,1705,432,47.828125,1261.8947368421052,464.02945705181685,1,6.310000026132911e-05,0.023826000000553904,0.023889100000815233,445,0,1.0770126691037334e-09,True,0.0
96,1000.0,connected,transpose,harmonic,ones,4,1,amg0,1705,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013175899999623653,0.012429299999894283,0.025605199999517936,13,0,1.286585333033427e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,random,4,2,jacobi,1705,432,47.828125,1261.8947368421052,464.02945705181685,1,5.4400000408350024e-05,0.02324270000008255,0.0232971000004909,433,0,9.634835116513852e-10,True,0.0
96,1000.0,connected,transpose,harmonic,random,4,3,amg0,1705,432,47.828125,1261.8947368421052,464.02945705181685,1,0.013390699999945355,0.01074479999988398,0.024135499999829335,11,0,2.2949899425074136e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_y,4,4,jacobi,1705,432,47.828125,1261.8947368421052,464.02945705181685,1,5.469999996421393e-05,0.025748099999873375,0.02580279999983759,450,0,9.243637454043341e-10,True,0.0
96,1000.0,connected,transpose,harmonic,dipole_y,4,5,amg0,1705,432,47.828125,1261.8947368421052,464.02945705181685,1,0.012772800000675488,0.012442799999917042,0.02521560000059253,13,0,1.4546584757284403e-10,True,1.342046388457675
96,1000.0,connected,transpose,harmonic,dipole_x,4,6,amg0,1705,432,47.828125,1261.8947368421052,464.02945705181685,1,0.012788899999577552,0.012798299999303708,0.02558719999888126,13,0,8.517600621595527e-11,True,1.342046388457675
